Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Non-Binary,58,Dating,High ($100-$500),First Valentine,Romantic,6 months - 1 year,Travel,Loves surprises,Moderately Popular,Spontaneous Surprise,Disliked,Planned Surprise,Minimalist,Fashion Accessories
Male,21,Engaged,Low (<$20),Casual Valentine,Surprise,<6 months,Music,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Eco-Friendly,Personalized Gift
Female,21,Dating,High ($100-$500),Anniversary Valentine,Surprise,<6 months,Art,Has allergies,Very Popular,Expression of Love,Highly Appreciated,Courier,Minimalist,Personalized Gift
Male,27,Single,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Fashion,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Courier,Minimalist,Personalized Gift
Non-Binary,34,Engaged,Low (<$20),Anniversary Valentine,Sentimental,6 months - 1 year,Sports,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,In-Person,Minimalist,Perfume
Female,19,Complicated,Luxury (>$500),Casual Valentine,Fun,<6 months,Reading,Enjoys luxury items,Rare Choice,Apology,Disliked,Courier,Eco-Friendly,Fashion Accessories
Non-Binary,23,Dating,Low (<$20),Long-Distance Valentine,Romantic,<6 months,Technology,Prefers experiences over items,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Fancy Wrapping,Subscription Service
Other,27,Complicated,Low (<$20),First Valentine,Practical,<6 months,Fashion,Enjoys luxury items,Rare Choice,Apology,Neutral,Online Delivery,No Wrapping,Flowers
Non-Binary,31,Dating,Low (<$20),Casual Valentine,Surprise,<6 months,Reading,Has allergies,Rare Choice,Spontaneous Surprise,Highly Appreciated,Courier,No Wrapping,Handmade Gift
Male,41,Dating,High ($100-$500),Casual Valentine,Luxury,3+ years,Art,Tech-savvy,Rare Choice,Apology,Disliked,Courier,Fancy Wrapping,Subscription Service
Male,36,Dating,High ($100-$500),Long-Distance Valentine,Sentimental,<6 months,Cooking,Handmade gifts appreciated,Rare Choice,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,Subscription Service
Male,39,Single,Low (<$20),First Valentine,Fun,6 months - 1 year,Travel,Handmade gifts appreciated,Very Popular,Apology,Disliked,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,31,Single,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Travel,Handmade gifts appreciated,Rare Choice,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,Handmade Gift
Other,40,Complicated,High ($100-$500),Long-Distance Valentine,Surprise,3+ years,Sports,Has allergies,Moderately Popular,Celebration,Disliked,Planned Surprise,No Wrapping,Perfume
Male,26,Engaged,Medium ($20-$100),Anniversary Valentine,Practical,3+ years,Art,Prefers experiences over items,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,Fancy Wrapping,Flowers
Non-Binary,26,Married,Low (<$20),Casual Valentine,Practical,6 months - 1 year,Fitness,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Female,57,Married,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Gaming,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Disliked,Planned Surprise,Minimalist,Jewelry
Female,18,Single,High ($100-$500),First Valentine,Sentimental,<6 months,Travel,Prefers experiences over items,Moderately Popular,Expression of Love,Never Given Gift Before,Online Delivery,Fancy Wrapping,Tech Gadgets
Female,36,Complicated,Medium ($20-$100),Long-Distance Valentine,Romantic,1-3 years,Sports,Prefers experiences over items,Moderately Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Chocolates
Male,42,Married,Medium ($20-$100),Long-Distance Valentine,Romantic,3+ years,Technology,Enjoys luxury items,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Female,18,Complicated,Medium ($20-$100),Anniversary Valentine,Surprise,6 months - 1 year,Art,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,Handmade Gift
Other,23,Single,Low (<$20),Anniversary Valentine,Romantic,1-3 years,Travel,Prefers practical gifts,Rare Choice,Expression of Love,Never Given Gift Before,Courier,Fancy Wrapping,Jewelry
Non-Binary,34,Dating,Medium ($20-$100),Casual Valentine,Surprise,6 months - 1 year,Sports,Enjoys luxury items,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,Minimalist,Perfume
Other,41,Married,Luxury (>$500),First Valentine,Practical,6 months - 1 year,Music,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,Handmade Gift
Female,38,Single,Medium ($20-$100),Casual Valentine,Practical,<6 months,Travel,Loves surprises,Moderately Popular,Apology,Neutral,Online Delivery,Fancy Wrapping,Personalized Gift
Male,39,Complicated,High ($100-$500),Anniversary Valentine,Luxury,1-3 years,Cooking,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Highly Appreciated,In-Person,No Wrapping,Personalized Gift
Other,28,Dating,High ($100-$500),Long-Distance Valentine,Luxury,6 months - 1 year,Fashion,Loves surprises,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Chocolates
Other,27,Complicated,High ($100-$500),Long-Distance Valentine,Fun,1-3 years,Cooking,Has allergies,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Jewelry
Non-Binary,51,Engaged,Medium ($20-$100),Long-Distance Valentine,Sentimental,1-3 years,Cooking,Prefers experiences over items,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Perfume
Female,30,Engaged,Luxury (>$500),Long-Distance Valentine,Fun,<6 months,Cooking,Handmade gifts appreciated,Rare Choice,Expression of Love,Neutral,Courier,No Wrapping,Perfume
Female,26,Dating,Low (<$20),Anniversary Valentine,Luxury,1-3 years,Fitness,Tech-savvy,Moderately Popular,Expression of Love,Highly Appreciated,Courier,Eco-Friendly,Fashion Accessories
Non-Binary,23,Single,Medium ($20-$100),Casual Valentine,Sentimental,3+ years,Fashion,Prefers practical gifts,Moderately Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Fashion Accessories
Male,54,Complicated,Low (<$20),Casual Valentine,Practical,6 months - 1 year,Gaming,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Perfume
Female,25,Single,Low (<$20),First Valentine,Fun,3+ years,Technology,Loves surprises,Very Popular,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Personalized Gift
Non-Binary,42,Complicated,Medium ($20-$100),First Valentine,Fun,1-3 years,Fitness,Tech-savvy,Moderately Popular,Apology,Disliked,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Other,41,Single,Medium ($20-$100),Long-Distance Valentine,Practical,<6 months,Fashion,Prefers experiences over items,Moderately Popular,Apology,Neutral,Planned Surprise,No Wrapping,Perfume
Non-Binary,50,Engaged,Medium ($20-$100),First Valentine,Luxury,3+ years,Reading,Tech-savvy,Rare Choice,Expression of Love,Never Given Gift Before,Online Delivery,Eco-Friendly,Flowers
Male,27,Dating,Luxury (>$500),Anniversary Valentine,Fun,6 months - 1 year,Art,Enjoys luxury items,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Fancy Wrapping,Subscription Service
Male,29,Dating,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Gaming,Enjoys luxury items,Very Popular,Celebration,Neutral,In-Person,Fancy Wrapping,Handmade Gift
Male,59,Complicated,Luxury (>$500),First Valentine,Sentimental,6 months - 1 year,Fashion,Tech-savvy,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,23,Complicated,Medium ($20-$100),Anniversary Valentine,Romantic,6 months - 1 year,Sports,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Courier,Minimalist,Tech Gadgets
Non-Binary,46,Engaged,High ($100-$500),Long-Distance Valentine,Fun,6 months - 1 year,Music,Loves surprises,Moderately Popular,Celebration,Disliked,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,48,Complicated,Luxury (>$500),Long-Distance Valentine,Luxury,3+ years,Technology,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,Flowers
Female,21,Complicated,Low (<$20),Anniversary Valentine,Sentimental,3+ years,Cooking,Prefers experiences over items,Moderately Popular,Expression of Love,Highly Appreciated,Courier,Eco-Friendly,Jewelry
Non-Binary,42,Married,High ($100-$500),Long-Distance Valentine,Sentimental,<6 months,Gaming,Has allergies,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,Eco-Friendly,Handmade Gift
Male,57,Single,High ($100-$500),First Valentine,Luxury,<6 months,Cooking,Tech-savvy,Moderately Popular,Celebration,Never Given Gift Before,In-Person,Minimalist,Tech Gadgets
Non-Binary,43,Dating,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Fashion,Has allergies,Rare Choice,Apology,Neutral,Planned Surprise,No Wrapping,Fashion Accessories
Other,28,Married,Low (<$20),Casual Valentine,Practical,<6 months,Reading,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,No Wrapping,Handmade Gift
Other,19,Dating,Low (<$20),Casual Valentine,Fun,1-3 years,Music,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Planned Surprise,Minimalist,Personalized Gift
Male,38,Complicated,Low (<$20),Casual Valentine,Romantic,1-3 years,Art,Loves surprises,Rare Choice,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Tech Gadgets
Female,32,Single,Medium ($20-$100),Anniversary Valentine,Practical,<6 months,Technology,Prefers practical gifts,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,No Wrapping,Perfume
Other,55,Engaged,Low (<$20),First Valentine,Practical,6 months - 1 year,Sports,Enjoys luxury items,Very Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Female,36,Dating,Low (<$20),Casual Valentine,Fun,3+ years,Sports,Prefers practical gifts,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Subscription Service
Non-Binary,23,Married,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Travel,Prefers experiences over items,Rare Choice,Spontaneous Surprise,Disliked,Planned Surprise,Eco-Friendly,Chocolates
Other,47,Engaged,High ($100-$500),Casual Valentine,Practical,1-3 years,Gaming,Has allergies,Very Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,45,Engaged,Medium ($20-$100),Anniversary Valentine,Sentimental,6 months - 1 year,Fitness,Loves surprises,Rare Choice,Apology,Never Given Gift Before,Courier,Minimalist,Flowers
Female,24,Dating,Luxury (>$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Technology,Loves surprises,Rare Choice,Expression of Love,Neutral,Planned Surprise,Eco-Friendly,Tech Gadgets
Non-Binary,59,Single,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Cooking,Enjoys luxury items,Rare Choice,Expression of Love,Never Given Gift Before,Planned Surprise,No Wrapping,Tech Gadgets
Male,25,Complicated,Medium ($20-$100),Casual Valentine,Sentimental,1-3 years,Fitness,Prefers experiences over items,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,Eco-Friendly,Personalized Gift
Non-Binary,28,Complicated,High ($100-$500),Anniversary Valentine,Fun,<6 months,Cooking,Prefers experiences over items,Moderately Popular,Expression of Love,Neutral,Courier,No Wrapping,Subscription Service
Male,58,Single,High ($100-$500),Long-Distance Valentine,Practical,<6 months,Reading,Tech-savvy,Very Popular,Apology,Disliked,In-Person,No Wrapping,Personalized Gift
Other,20,Single,Luxury (>$500),Casual Valentine,Surprise,1-3 years,Reading,Prefers practical gifts,Moderately Popular,Apology,Neutral,Online Delivery,No Wrapping,Tech Gadgets
Non-Binary,27,Single,Luxury (>$500),Long-Distance Valentine,Surprise,1-3 years,Fitness,Tech-savvy,Moderately Popular,Expression of Love,Disliked,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,35,Dating,Low (<$20),First Valentine,Romantic,1-3 years,Music,Handmade gifts appreciated,Moderately Popular,Expression of Love,Disliked,In-Person,Eco-Friendly,Subscription Service
Other,38,Single,High ($100-$500),First Valentine,Surprise,3+ years,Reading,Enjoys luxury items,Very Popular,Celebration,Neutral,Planned Surprise,No Wrapping,Jewelry
Other,24,Dating,High ($100-$500),Long-Distance Valentine,Surprise,1-3 years,Gaming,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Minimalist,Subscription Service
Female,34,Married,Low (<$20),Long-Distance Valentine,Romantic,<6 months,Reading,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Subscription Service
Non-Binary,47,Dating,Luxury (>$500),Casual Valentine,Surprise,6 months - 1 year,Fitness,Loves surprises,Very Popular,Celebration,Neutral,Online Delivery,Fancy Wrapping,Flowers
Non-Binary,46,Dating,Medium ($20-$100),First Valentine,Luxury,3+ years,Sports,Prefers practical gifts,Rare Choice,Apology,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Flowers
Other,58,Single,Luxury (>$500),Anniversary Valentine,Fun,1-3 years,Gaming,Loves surprises,Rare Choice,Apology,Neutral,Online Delivery,No Wrapping,Jewelry
Other,26,Complicated,Low (<$20),Anniversary Valentine,Practical,3+ years,Technology,Prefers practical gifts,Moderately Popular,Expression of Love,Neutral,Online Delivery,No Wrapping,Fashion Accessories
Male,36,Engaged,Low (<$20),Long-Distance Valentine,Romantic,<6 months,Fashion,Prefers experiences over items,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,54,Complicated,Low (<$20),Anniversary Valentine,Romantic,3+ years,Fashion,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,In-Person,Minimalist,Jewelry
Male,52,Complicated,High ($100-$500),First Valentine,Surprise,1-3 years,Art,Prefers practical gifts,Very Popular,Apology,Never Given Gift Before,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Female,25,Married,Medium ($20-$100),Casual Valentine,Fun,1-3 years,Fashion,Tech-savvy,Very Popular,Celebration,Neutral,Planned Surprise,Minimalist,Fashion Accessories
Other,55,Married,High ($100-$500),Casual Valentine,Romantic,<6 months,Gaming,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,Courier,Minimalist,Perfume
Female,46,Engaged,Luxury (>$500),First Valentine,Romantic,3+ years,Gaming,Has allergies,Rare Choice,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,53,Single,High ($100-$500),First Valentine,Romantic,6 months - 1 year,Fashion,Loves surprises,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,No Wrapping,Perfume
Female,52,Engaged,High ($100-$500),Long-Distance Valentine,Sentimental,<6 months,Gaming,Tech-savvy,Rare Choice,Apology,Highly Appreciated,Planned Surprise,Fancy Wrapping,Perfume
Male,50,Single,High ($100-$500),Anniversary Valentine,Surprise,1-3 years,Fashion,Prefers experiences over items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Eco-Friendly,Personalized Gift
Female,25,Complicated,Medium ($20-$100),First Valentine,Surprise,1-3 years,Gaming,Prefers practical gifts,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,Minimalist,Chocolates
Male,42,Complicated,High ($100-$500),First Valentine,Practical,6 months - 1 year,Reading,Loves surprises,Very Popular,Expression of Love,Disliked,Online Delivery,Minimalist,Handmade Gift
Male,39,Complicated,Luxury (>$500),Casual Valentine,Surprise,<6 months,Fitness,Handmade gifts appreciated,Moderately Popular,Celebration,Disliked,In-Person,Eco-Friendly,Personalized Gift
Male,29,Married,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Reading,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Disliked,In-Person,No Wrapping,Perfume
Female,39,Dating,High ($100-$500),Casual Valentine,Romantic,6 months - 1 year,Sports,Has allergies,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Online Delivery,No Wrapping,Perfume
Non-Binary,23,Complicated,Low (<$20),Casual Valentine,Practical,3+ years,Technology,Loves surprises,Rare Choice,Expression of Love,Never Given Gift Before,Online Delivery,Eco-Friendly,Chocolates
Male,36,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,<6 months,Sports,Tech-savvy,Very Popular,Apology,Highly Appreciated,Online Delivery,No Wrapping,Flowers
Non-Binary,27,Dating,Luxury (>$500),Casual Valentine,Practical,3+ years,Reading,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Courier,Eco-Friendly,Fashion Accessories
Male,22,Married,Luxury (>$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Cooking,Tech-savvy,Rare Choice,Spontaneous Surprise,Disliked,Planned Surprise,Eco-Friendly,Subscription Service
Non-Binary,53,Married,Medium ($20-$100),Long-Distance Valentine,Practical,<6 months,Art,Tech-savvy,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,23,Single,Luxury (>$500),First Valentine,Sentimental,6 months - 1 year,Music,Enjoys luxury items,Moderately Popular,Celebration,Highly Appreciated,In-Person,Eco-Friendly,Personalized Gift
Female,18,Single,Luxury (>$500),First Valentine,Romantic,1-3 years,Reading,Loves surprises,Rare Choice,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Perfume
Non-Binary,37,Single,Luxury (>$500),Casual Valentine,Romantic,<6 months,Music,Tech-savvy,Very Popular,Expression of Love,Neutral,Courier,No Wrapping,Fashion Accessories
